"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","Create user","LMS service","Mon Aug 04 16:26:52 GMT 2025","passed","Mon Aug 04 16:26:52 GMT 2025","Create entity","Users","",""
"","34","Update course","LMS service","Mon Aug 04 16:26:45 GMT 2025","passed","Mon Aug 04 16:26:45 GMT 2025","Update entity","Courses","",""
"","18","Get exercises","LMS service","Mon Aug 04 16:26:49 GMT 2025","passed","Mon Aug 04 16:26:49 GMT 2025","Get entities","Exercises","",""
"","555","Create user","LMS service","Mon Aug 04 16:26:52 GMT 2025","passed","Mon Aug 04 16:26:53 GMT 2025","Create entity","Users","",""
"","13","Get file","LMS service","Mon Aug 04 16:26:50 GMT 2025","passed","Mon Aug 04 16:26:50 GMT 2025","Get entity","Files","",""
"","29","Create course","LMS service","Mon Aug 04 16:26:45 GMT 2025","passed","Mon Aug 04 16:26:46 GMT 2025","Create entity","Courses","",""
"","257","Create file with empty filename","LMS service","Mon Aug 04 16:26:50 GMT 2025","passed","Mon Aug 04 16:26:50 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Mon Aug 04 16:26:53 GMT 2025","passed","Mon Aug 04 16:26:53 GMT 2025","Get entity","Users","",""
"","26","Get courses","LMS service","Mon Aug 04 16:26:44 GMT 2025","passed","Mon Aug 04 16:26:44 GMT 2025","Get entities","Courses","",""
"","264","Create file with empty directory","LMS service","Mon Aug 04 16:26:51 GMT 2025","passed","Mon Aug 04 16:26:51 GMT 2025","Validate entity","Files","",""
"","291","Delete file","LMS service","Mon Aug 04 16:26:51 GMT 2025","passed","Mon Aug 04 16:26:52 GMT 2025","Delete entity","Files","",""
"","17","Delete exercise","LMS service","Mon Aug 04 16:26:48 GMT 2025","passed","Mon Aug 04 16:26:48 GMT 2025","Delete entity","Exercises","",""
"","21","Get exercise","LMS service","Mon Aug 04 16:26:48 GMT 2025","passed","Mon Aug 04 16:26:48 GMT 2025","Get entity","Exercises","",""
"","19","Update exercise","LMS service","Mon Aug 04 16:26:47 GMT 2025","passed","Mon Aug 04 16:26:47 GMT 2025","Update entity","Exercises","",""
"","21","Create exercise","LMS service","Mon Aug 04 16:26:47 GMT 2025","passed","Mon Aug 04 16:26:47 GMT 2025","Create entity","Exercises","",""
"","555","Create user","LMS service","Mon Aug 04 16:26:52 GMT 2025","passed","Mon Aug 04 16:26:53 GMT 2025","Create entity","Users","",""
"","267","Get file with incorrect file id","LMS service","Mon Aug 04 16:26:52 GMT 2025","passed","Mon Aug 04 16:26:52 GMT 2025","Validate entity","Files","",""
"","550","Login with correct email and password","LMS service","Mon Aug 04 16:26:44 GMT 2025","passed","Mon Aug 04 16:26:44 GMT 2025","Login","Authentication","",""
"","22","Create file","LMS service","Mon Aug 04 16:26:49 GMT 2025","passed","Mon Aug 04 16:26:49 GMT 2025","Create entity","Files","",""
